,year,current_age,t06,t07,diff
0,1911,111,38231.0,,
1,1912,110,54689.0,,
2,1913,109,68648.0,,
3,1914,108,90889.0,,
4,1915,107,117522.0,,
5,1916,106,156456.0,,
6,1917,105,209291.0,,
7,1918,104,287676.0,,
8,1919,103,371079.0,,
9,1920,102,553805.0,,
10,1921,101,715398.0,79470.0,-63.0
11,1922,100,858879.0,100616.0,-75.0
12,1923,99,1065276.0,143736.0,-92.0
13,1924,98,1344215.0,206218.0,-113.0
14,1925,97,1648160.0,289772.0,-135.0
15,1926,96,1824190.0,368896.0,-145.0
16,1927,95,2237138.0,511539.0,-172.0
17,1928,94,2757918.0,712963.0,-204.0
18,1929,93,2816693.0,843235.0,-197.0
19,1930,92,3737259.0,1216116.0,-252.0
20,1931,91,3706915.0,1389113.0,-231.0
21,1932,90,4254858.0,1724439.0,-253.0
22,1933,89,5082383.0,2285081.0,-279.0
23,1934,88,5175500.0,2518664.0,-265.0
24,1935,87,5632477.0,2909233.0,-272.0
25,1936,86,6080173.0,3370647.0,-270.0
26,1937,85,6343869.0,3711083.0,-263.0
27,1938,84,6893225.0,4242478.0,-265.0
28,1939,83,6265718.0,4139582.0,-212.0
29,1940,82,7389412.0,4919088.0,-247.0
30,1941,81,7715897.0,5548901.0,-216.0
31,1942,80,7740868.0,5672036.0,-206.0
32,1943,79,7942141.0,6019552.0,-192.0
33,1944,78,8640965.0,6818961.0,-182.0
34,1945,77,9073411.0,7179399.0,-189.0
35,1946,76,9951467.0,8162158.0,-178.0
36,1947,75,10791633.0,9046226.0,-174.0
37,1948,74,11276853.0,9552234.0,-172.0
38,1949,73,13029125.0,11228645.0,-180.0
39,1950,72,13618204.0,11600773.0,-201.0
40,1951,71,13701998.0,12291203.0,-141.0
41,1952,70,16167933.0,14550479.0,-161.0
42,1953,69,16093888.0,14620318.0,-147.0
43,1954,68,17738127.0,16248455.0,-148.0
44,1955,67,17610528.0,16295105.0,-131.0
45,1956,66,16847642.0,15650810.0,-119.0
46,1957,65,18351980.0,17232007.0,-111.0
47,1958,64,16617709.0,15464277.0,-115.0
48,1959,63,12838832.0,12135959.0,-70.0
49,1960,62,14097008.0,12899885.0,-119.0
50,1961,61,11228960.0,10559047.0,-66.0
51,1962,60,20075084.0,19132096.0,-94.0
52,1963,59,26972157.0,26044142.0,-92.0
53,1964,58,23355778.0,22559346.0,-79.0
54,1965,57,23962574.0,23106155.0,-85.0
55,1966,56,24012158.0,23592942.0,-41.0
56,1967,55,21355748.0,20959668.0,-39.0
57,1968,54,27032542.0,26105080.0,-92.0
58,1969,53,24956297.0,24444570.0,-51.0
59,1970,52,27397219.0,26062036.0,-133.0
60,1971,51,25211795.0,24660557.0,-55.0
61,1972,50,24730460.0,23862010.0,-86.0
62,1973,49,23990208.0,23233417.0,-75.0
63,1974,48,22906980.0,22208985.0,-69.0
64,1975,47,21186516.0,20259918.0,-92.0
65,1976,46,20689024.0,19752499.0,-93.0
66,1977,45,18179478.0,17758286.0,-42.0
67,1978,44,19474874.0,18564211.0,-91.0
68,1979,43,19866458.0,19339617.0,-52.0
69,1980,42,18928369.0,17540717.0,-138.0
70,1981,41,19568009.0,19063634.0,-50.0
71,1982,40,22322147.0,21799284.0,-52.0
72,1983,39,19480836.0,19063741.0,-41.0
73,1984,38,19709177.0,19499941.0,-20.0
74,1985,37,19933683.0,19586332.0,-34.0
75,1986,36,22658768.0,22736341.0,7.0
76,1987,35,25695955.0,25946853.0,25.0
77,1988,34,24474192.0,24037711.0,-43.0
78,1989,33,26556649.0,25451203.0,-110.0
79,1990,32,28026954.0,25973082.0,-205.0
80,1991,31,21543466.0,20514317.0,-102.0
81,1992,30,20755274.0,19060645.0,-169.0
82,1993,29,20775369.0,18298935.0,-247.0
83,1994,28,18790521.0,16826988.0,-196.0
84,1995,27,18024484.0,17146447.0,-87.0
85,1996,26,15893800.0,15867040.0,-2.0
86,1997,25,15225032.0,15325970.0,10.0
87,1998,24,15399559.0,15249809.0,-14.0
88,1999,23,13935714.0,13935509.0,0.0
89,2000,22,14454357.0,14563347.0,10.0
90,2001,21,14248825.0,14368955.0,12.0
91,2002,20,13666956.0,14043179.0,37.0
92,2003,19,13429161.0,13730626.0,30.0
93,2004,18,14804470.0,15218156.0,41.0
94,2005,17,14732137.0,15323224.0,59.0
95,2006,16,15220041.0,16179412.0,95.0
96,2007,15,15250805.0,16677054.0,142.0
97,2008,14,15617375.0,17356919.0,173.0
98,2009,13,15657955.0,17695044.0,203.0
99,2010,12,13786434.0,17347565.0,356.0
100,2011,11,,17788070.0,
101,2012,10,,19353752.0,
102,2013,9,,17963157.0,
103,2014,8,,18591806.0,
104,2015,7,,16547271.0,
105,2016,6,,17827184.0,
106,2017,5,,18418078.0,
107,2018,4,,15266778.0,
108,2019,3,,14383791.0,
